HE 0534-4548                   2460280.74810865    185.3449    0.1742 
BD+07 4625                     2460280.51426448    292.9858    0.4112 
TYC 126-853-1                  2460280.73969112     36.5874    0.0206 
HD 69578                       2460280.77070270     36.4780    0.0603 
TYC 4790-460-1                 2460280.76267827   -294.1178    0.4367 
HD 50264                       2460280.76897759     58.1932    0.0219 
HD 19851                       2460280.71186129      0.3453    0.0115 
HD 76225                       2460280.77654448     27.9320    0.0409 
6 Cet                          2460280.67426511     18.8623    0.0949 
6 Cet                          2460280.67741647     18.5998    0.0207 
2MASS J00435910+0234080        2460280.61700776   -179.7415    0.0599 
TYC 701-81-1                   2460280.73151018     52.4376    0.0111 
HR CMa                         2460280.76692554      1.6035    0.0206 
LP 761-112                     2460280.52869384   -230.7324    0.0269 
ASASSN-V J181441.19-755530.2   2460280.55780131     31.1772    0.2394 
HD 19851                       2460281.70850813    -19.6654    0.4808 
2MASS J00435910+0234080        2460281.59693020   -185.0029    1.0277 
TYC 4790-460-1                 2460281.77272369    168.0491    0.3000 
ASASSN-V J181441.19-755530.2   2460281.54391887      0.7273    0.7362 
BD+07 4625                     2460281.51856252   -254.0337    0.3886 
TYC 4790-460-1                 2460281.73866792    272.9500    0.5081 
6 Cet                          2460281.62950376     16.4814    0.2537 
TYC 701-81-1                   2460281.76664893    221.7020    0.1355 
HD 76225                       2460281.83011987     59.3456    0.4896 
HR CMa                         2460281.77594992    205.1446    0.3061 
HD 32712                       2460281.74969043    147.7131    0.3596 
TYC 565-1564-1                 2460281.55524457   -172.2542    0.2565 
TYC 126-853-1                  2460281.75993159    191.7163    0.4231 
HD 273845                      2460281.74744112    141.2600    0.2629 
ATO J314.9459-08.0246          2460281.52929617     20.3626    0.9185 
HD 269246                      2460281.72749298    148.2371    0.7624 
HD 50264                       2460282.81395592     41.7460    0.0238 
HR CMa                         2460282.81121225    -14.1997    0.0161 
6 Cet                          2460282.51861576     12.1098    0.0146 
HD 76225                       2460282.85052543     10.1897    0.0412 
HD 19851                       2460282.74912895    -13.5873    0.0125 
TYC 126-853-1                  2460282.76417301     22.1120    0.0186 
2MASS J00435910+0234080        2460282.63686270   -190.7988    0.0502 
TYC 591-1090-1                 2460282.54686772      6.2317    0.0214 
ASASSN-V J181441.19-755530.2   2460282.52507727     31.8669    0.1573 
TYC 4790-460-1                 2460282.80297800     88.6172    0.4531 
HD 50264                       2460282.82989231     41.0120    0.0199 
TYC 701-81-1                   2460282.77699495     37.6483    0.0103 
HD 273845                      2460282.75190184      2.9219    0.0147 
TYC 565-1564-1                 2460282.53572284   -176.6620    0.0191 
HD 211954                      2460282.55156964     -9.4301    0.0185 
HD 69578                       2460282.84579374     41.6567    0.0624 
TYC 4790-460-1                 2460282.79676582     -3.6616    0.8580 
BD+07 4625                     2460282.51964799    -33.5923    0.3907 
HE 0534-4548                   2460282.78481245     32.6965    0.1941 
HD 32712                       2460282.75511431     -0.4976    0.0114 
VELOC WAVE                     2460283.51328424   -185.9121    0.2862 
HD 69578                       2460283.83052761   -251.7182    0.0208 
2MASS J00435910+0234080        2460283.64486267     21.6433    0.0105 TYC 5215-15-1                  2460545.65899098    -15.4450    0.0198 
HD 211173                      2460545.60738536    -18.6964    0.0151 
CD-56 8291                     2460545.64398723    -61.7899    0.0369 
HD 21989                       2460545.80089718     13.0019    0.0158 
HD 222349                      2460545.62777996     36.7628    0.0469 
HD   749                       2460545.63363479     24.8838    0.0138 
TYC 5204-375-1                 2460545.65244030     -8.1785    0.0184 
HD 22772                       2460545.80326761     21.8616    0.0136 
HD 214889                      2460545.67130186     24.3938    0.0180 
BPSCS 22967-0007               2460545.74488412     35.2483    0.2676 
HD  2454                       2460545.73121593     -6.5887    0.0259 
BD+07 4625                     2460545.63792866    246.6220    0.6989 
HD 207585                      2460545.60204458    -71.9891    0.0186 
Source 2696956135781037312     2460545.66570215    -12.8903    0.0269 
HD 207277                      2460545.60473582    -24.0230    0.0157 
HD 200063                      2460545.62020277    -51.2915    0.0098 
HD 219899                      2460545.67870561     22.5274    0.0113 
HD  6434                       2460545.68435713     22.9841    0.0164 
HD 214579                      2460545.61282180      3.6995    0.0167 
CD-62 1346                     2460545.63998738    124.5072    0.0599 
HD 205156                      2460545.62237203     91.4565    0.0198 
HE 0151-0341                   2460545.76673855    -32.0082    0.1477 
HD 211221                      2460545.61009539    -18.5600    0.0243 
TYC  54-642-1                  2460545.80813233    -11.2450    0.0303 
HD 18853                       2460545.79136144     22.3813    0.0320 
HD 18182                       2460545.79779154     23.5959    0.0158 
HD 202400                      2460545.61357086    -26.7210    0.6128 
SKB 5                          2460545.69974677     36.0462    0.0504 
HD 24864                       2460545.79414285     14.1672    0.1473 
HD 224621                      2460545.63156893     22.1314    0.0196 
HD 221531                      2460545.62619748      7.4510    0.1430 
HD  9529                       2460545.68960389     25.5842    0.0935 
HD  5332                       2460545.68659642      3.4019    0.0301 
HD 217447                      2460545.68342844      5.2820    0.0079 
HD 205156                      2460546.60525543     91.5381    0.0320 
HD 200063                      2460546.61520381    -51.1080    0.0126 
BPSCS 22967-0007               2460546.70532522    223.5064    0.2458 
HE 0151-0341                   2460546.73217616    -30.7872    0.3752 
HD 207585                      2460546.60194715    -71.9086    0.0221 
TYC 5204-375-1                 2460546.61107045     -8.1412    0.0225 
TYC 4790-460-1                 2460546.91004889   -240.3518    0.5938 
HD 18853                       2460546.71727505     22.5636    0.0486 
HD 18182                       2460546.89222700     24.1150    0.0263 
HD  5332                       2460546.63946948      3.6392    0.0525 
Source 2696956135781037312     2460546.62443098    -12.7136    0.0303 
2MASS J22103877+0516144        2460546.63039613   -174.9746    0.0442 
HD 214579                      2460546.61778235      3.8055    0.0208 
TYC  54-642-1                  2460546.89546728    -10.6595    0.0287 
HD 221531                      2460546.63638964      8.0922    0.1664 
HD  6434                       2460546.63742756     23.1605    0.0221 
HD 224621                      2460546.63297764     22.2280    0.0331 
HD 207277                      2460547.52821894    -23.8166    0.0194 
TYC 5215-15-1                  2460547.54347089    -15.0670    0.0337 
CD-56 8291                     2460547.53666983    -61.8843    0.0354 
HD 211221                      2460547.53132754    -18.3841    0.0283 
HD 214579                      2460547.56756885      3.8334    0.0070 
HD   749                       2460547.57952481     25.0725    0.0202 
TYC 4790-460-1                 2460547.91073446    119.3308    0.4652 
HD  9529                       2460547.90887383     25.8332    0.1423 
HD 214889                      2460547.57854837     24.7815    0.0414 
HD 222349                      2460547.55278041     36.8552    0.0572 
HD 211173                      2460547.53351924    -18.3810    0.0185 
HD  2454                       2460547.85980638     -5.8496    0.0542 
HD 202400                      2460547.54515568    -29.3495    0.9759 
HD 217447                      2460547.57424997      5.5378    0.0070 
HE 0151-0341                   2460547.89382232    -31.2679    0.2239 
HD 24864                       2460547.90480868     15.6571    0.1895 
